,text,label,paraphrased_text
0,Læs hele det skønne interview her:,positive,Få det fulde og fantastiske interview læst her:
1,"Nu har jeg beklaget mig i flere måneder over, at det folketingsvalg aldrig kom. I dag vil jeg dog sige, at jeg sender en meget kærlig tanke til Løkke-far, hvis han holder sig fra knappen. Ellers skal jeg udføre mit arbejde fra tønden 😂💩 

Don’t do it!! Plz! #vigtigviden",negative,"Jeg har i flere måneder udtrykt min utilfredshed med, at folketingsvalget aldrig blev afholdt. I dag vil jeg dog gerne udtrykke min kærlighed til Løkke-far, hvis han undlader at trykke på knappen. Hvis han gør det, må jeg dog udføre mit arbejde fra toilettet 😂💩 

Gør det ikke !! Venligst! #vigtigviden"
2,"Fuldstændig korrekt. Dyr er vidst forskellig når det angår intelligens. 

Jeg nævnte name the trait tidligere og hvis vi prøver det argument med intelligens vil vi se at det er en dårlig måde at skille hvem der må dræbes og ikke må.",neutral,"Du har en fuldstændig korrekt observation. Når det kommer til intelligens, er dyr tydeligvis forskellige. 

Jeg tidligere nævnte ""name the trait""-argumentet, og hvis vi anvender det på intelligens, kan vi se, at det ikke er en god metode til at afgøre, hvilke dyr der skal dræbes og hvilke der ikke skal."
3,"#Sundhedsvæsenets største udfordringer de kommende år, når man spørger en flok snart-speciallæger. #Økonomi #lægemangel #besparelser #arbejdsmiljø #ældrebyrden - hvorfor ikke tage udgangspunkt i dette, i en reform?@USER #sundpol",neutral,"De kommende år står sundhedsvæsenet over for flere store udfordringer ifølge en gruppe kommende speciallæger. Disse omfatter økonomi, mangel på læger, besparelser, arbejdsmiljø og ældrebyrden. Hvorfor ikke basere en reform på disse udfordringer? #sundpol"
4,"Myter om ateismen #3
“Ateister er imod, at religioner missionerer - men gør det selv.”

Nej, vi har nemlig aldrig anklaget nogen for at missionere og sige, hvad de mener er godt for mennesket.

Det vi siger er, at religioner ikke er gode idéer. 

#duerjoateist #dkpol #dktro",negative,"Ateister er imod, at religioner missionerer, men selv gør de det samme. Nej, vi har aldrig anklaget nogen for at missionere og fortælle, hvad de tror er godt for mennesker. Det, vi siger, er, at religioner ikke er gode idéer. #ateisterervigtige #danskpolitik #dansktro"
5,Nu kommenterede jeg ej heller på hverken standarden af dommere eller fejlkendelserne (for det var det) men læs dit eget tweet igen og så er vi retur ved sølvhatten,negative,"Jeg sagde ikke noget om hverken dommernes kvalitet eller fejlkendelserne (for det var det), men hvis du læser dit eget tweet igen, kommer vi tilbage til sølvhatten."
6,"Husk nu: Mega dyr fornøjelse med ekstra politi på gaden idag på Nørrebro! De skal jo ha' SØNDAGS-TILLÆG! Er de kaldt ind på en fridag ja så er det sgu endnu dyre! Det Paludanske Totalteaters provokations-demonstrationer ligger statskassen til last! [LINK]

#dkpol",negative,"Husk nu: Stor priselig fornøjelse med ekstra politistyrke på Nørrebro i dag! De får nemlig løn for arbejde på en søndag! Hvis de bliver kaldt ind på en fridag, bliver det endnu dyrere! Det Paludanske Totalteaters provokationsdemonstrationer er en byrde for statskassen! [LINK]

#dkpol"
7,"Jo, timingen er da nok ikke tilfældig. Men er timingen så vigtig? Er det ikke vigtigere at der er 12.000 der synes hans politik er legitim, og prøve at forklare hvordan dét kan være?",negative,"Ja, det er sandsynligvis ikke tilfældigt med timingen. Men er timingen så afgørende? Er det ikke vigtigere at forklare, hvordan 12.000 mennesker finder hans politik legitim?"
8,"Kirke sender prædiken på Youtube I Ny Kirke er de hoppet på Youtube. Præst, prædiken og kristent budskab bliver filmet og lagt på internettet, så det kristne budskab kan nå ud til hele verden.",neutral,"I kirken bliver prædiken optaget og lagt på Youtube. I den nye kirke har de valgt at bruge Youtube som platform til at formidle præsterne og det kristne budskab, så det kan nå ud til en global målgruppe."
9,"Når vi nu ikke ved, hvornår der er Folketingsvalg (@USER?), kan vi jo meget passende forberede os til den 26. maj, hvor vi stemmer om noget, der er MINDST ligeså vigtigt #dennegangstemmerjwg #eudk",negative,"Eftersom vi ikke kender datoen for Folketingsvalget (@USER?), kan vi lige så godt forberede os til den 26. maj, hvor vi stemmer om noget, der er mindst lige så vigtigt #dennegangstemmerjeg #eudk."
10,"Hvem på vippen i de partier der står til store stemmefald? Fås fornemmelse ved at se på, hvem twitrer og facebooker mest hektisk for tiden? Opinionsmåling af #dkpol , der giver nærmere indikation? Nul interviews i #dkmedier om ""hvad vil du i givet fald lave efter Christiansborg""`",neutral,"Hvem er tæt på at falde i popularitet i de partier, der står til store tab af stemmer? Kan man få en fornemmelse ved at se på, hvem der er mest aktiv på Twitter og Facebook for tiden? Viser meningsmålingerne om #dkpol en nærmere indikation? Der er ikke nogen interviews i #dkmedier omkring ""hvad vil du gøre efter Christiansborg, hvis du blev frataget dit sæde""?"
11,"Og det at Paludan nu kommer ind i billedet, gør kun at de vil presse yderligere på for at udligne det stemmespild, der måtte opstå i den borgerlige lejr.

#DKpol",negative,"Og når Paludan nu træder ind i billedet, betyder det bare, at de vil fortsætte med at presse for at udligne det tab af stemmer, der måtte opstå i den borgerlige blok."
